name,region_id,jumps_to_jita,security
Tanoo,Derelik,14,0.86
Lashesih,Derelik,14,0.75
Akpivem,Derelik,15,0.85
Jark,Derelik,12,0.82
Sasta,Derelik,13,0.81
Zaid,Derelik,17,0.86
Yuzier,Derelik,15,0.91
Nirbhi,Derelik,16,0.88
Sooma,Derelik,23,0.58
Chidah,Derelik,22,0.54
Shenela,Derelik,23,0.46
Asabona,Derelik,20,0.32
Onsooh,Derelik,21,0.44
Shamahi,Derelik,22,0.36
Sendaya,Derelik,22,0.29
Nazhgete,Derelik,22,0.39
Futzchag,Derelik,24,0.17
Kazna,Derelik,23,0.23
Podion,Derelik,26,0.11
Lilmad,Derelik,25,0.16
Kuharah,Derelik,24,0.19
Jayneleb,Derelik,25,0.11
Fovihi,Derelik,18,0.87
Kiereend,Derelik,19,0.84
Rashy,Derelik,19,0.80
Ordize,Derelik,18,0.70
Psasa,Derelik,20,0.75
Eshtah,Derelik,19,0.77
Lachailes,Derelik,18,0.57
Kasrasi,Derelik,17,0.57
Mohas,Derelik,14,0.68
Hasiari,Derelik,14,0.80
Radima,Derelik,15,0.75
Alkez,Derelik,15,0.78
Nimambal,Derelik,13,0.59
Yishinoon,Derelik,12,0.42
Uplingur,Derelik,11,0.42
Dooz,Derelik,24,0.42
Bayuka,Derelik,25,0.40
Uzistoon,Derelik,25,0.39
Bairshir,Derelik,26,0.36
Moh,Derelik,27,0.47
Sari,Derelik,25,0.38
Faspera,Derelik,22,0.13
Jaymass,Derelik,21,0.22
Mifrata,Derelik,21,0.30
Majamar,Derelik,22,0.37
Ihal,Derelik,20,0.49
Camal,Derelik,22,0.21
Fera,Derelik,23,0.48
Juddi,Derelik,17,0.65
Maspah,Derelik,16,0.80
Ibaria,Derelik,17,0.73
Shala,Derelik,17,0.72
Zemalu,Derelik,17,0.73
Khankenirdia,Derelik,18,0.61
Nikh,Derelik,17,0.77
Amphar,Derelik,18,0.70
Salashayama,Derelik,19,0.67
Janus,Derelik,18,0.55
Agha,Derelik,18,0.72
Iosantin,Derelik,18,0.45
Orva,Derelik,19,0.51
Zet,Derelik,20,0.57
Akhrad,Derelik,17,0.36
Pirohdim,Derelik,21,0.63
Sharir,Derelik,18,0.40
Usroh,Derelik,18,0.60
Thiarer,Derelik,20,0.54
Gomati,Derelik,19,0.39
Jangar,Derelik,21,0.53
Nakah,Derelik,20,0.36
Irshah,Derelik,19,0.43
Hasateem,Derelik,20,0.43
Assah,Derelik,20,0.30
Tidacha,Derelik,17,0.82
Odlib,Derelik,18,0.82
Jofan,Derelik,19,0.78
Milu,Derelik,18,0.77
Yadi,Derelik,19,0.75
Buftiar,Derelik,20,0.71
Jarizza,Derelik,17,0.77
Ejahi,Derelik,18,0.73
Asghatil,Derelik,16,0.79
Bar,Derelik,18,0.67
Sucha,Derelik,17,0.66
Gelhan,Derelik,19,0.70
Akeva,Derelik,20,0.66
Sosa,Derelik,24,0.30
Ilahed,Derelik,23,0.32
Eshwil,Derelik,25,0.22
Aranir,Derelik,25,0.24
Ishkad,Derelik,24,0.37
Hahyil,Derelik,26,0.21
Asilem,Derelik,23,0.28
Mahnagh,Derelik,24,0.21
Shach,Derelik,23,0.33
Kehrara,Derelik,22,0.36
Arena,Derelik,21,0.44
Timeor,Derelik,24,0.31
Uhtafal,Derelik,20,0.50
Dysa,Derelik,22,0.24
Serad,Derelik,21,0.53
Mahti,Derelik,23,0.23
Abha,Derelik,19,0.43
Shedoo,Derelik,19,0.51
Gamis,Derelik,19,0.47
Nieril,Derelik,20,0.35
Berta,Derelik,18,0.49
Bekirdod,Derelik,19,0.41
Hothomouh,Derelik,19,0.42
Arnola,Derelik,16,0.46
Astabih,Derelik,15,0.41
Ubtes,Derelik,14,0.34
Bimener,Derelik,15,0.27
Kenobanala,Derelik,15,0.29
Khabi,Derelik,15,0.25
Uanzin,Derelik,16,0.43
Itamo,The Forge,2,0.67
Mitsolen,The Forge,3,0.63
Jatate,The Forge,3,0.64
Mahtista,The Forge,4,0.66
Vaankalen,The Forge,3,0.65
Kylmabe,The Forge,3,0.73
Ahtulaima,The Forge,3,0.61
Geras,The Forge,5,0.65
Sirseshin,The Forge,5,0.75
Tuuriainas,The Forge,5,0.61
Unpas,The Forge,3,0.95
Shihuken,The Forge,4,0.87
Nomaa,The Forge,4,0.61
Ansila,The Forge,2,0.91
Hirtamon,The Forge,2,0.97
Hykkota,The Forge,3,0.82
Outuni,The Forge,4,0.73
Ohmahailen,The Forge,4,0.66
Eskunen,The Forge,5,0.63
Ikuchi,The Forge,1,0.99
Urlen,The Forge,2,0.96
Maurasi,The Forge,1,0.91
Kisogo,The Forge,3,1.00
Jita,The Forge,0,0.95
Niyabainen,The Forge,1,0.96
Perimeter,The Forge,1,0.95
New Caldari,The Forge,1,1.00
Saisio,The Forge,5,0.65
Abagawa,The Forge,6,0.63
Jakanerva,The Forge,6,0.74
Gekutami,The Forge,7,0.70
Hurtoken,The Forge,7,0.59
Uoyonen,The Forge,8,0.70
Hampinen,The Forge,7,0.54
Poinen,The Forge,3,0.56
Liekuri,The Forge,3,0.60
Obanen,The Forge,4,0.56
Josameto,The Forge,2,0.58
Otela,The Forge,3,0.53
Olo,The Forge,5,0.68
Ikami,The Forge,8,0.53
Reisen,The Forge,9,0.52
Purjola,The Forge,9,0.52
Maila,The Forge,10,0.44
Akora,The Forge,10,0.32
Messoya,The Forge,11,0.32
Ishisomo,The Forge,6,0.65
Airmia,The Forge,7,0.62
Sakkikainen,The Forge,7,0.59
Friggi,The Forge,8,0.51
Ihakana,The Forge,9,0.38
Vahunomi,The Forge,8,0.53
Otitoh,The Forge,9,0.48
Otomainen,The Forge,10,0.48
Vattuolen,The Forge,9,0.71
Onuse,The Forge,10,0.74
Soshin,The Forge,10,0.63
Keikaken,The Forge,11,0.72
Ukkalen,The Forge,12,0.65
Akkilen,The Forge,10,0.69
Silen,The Forge,11,0.52
Osmon,The Forge,6,0.68
Korsiki,The Forge,7,0.64
Inaya,The Forge,7,0.55
Nuken,The Forge,8,0.76
Uminas,The Forge,8,0.48
Airaken,The Forge,8,0.50
Oijanen,The Forge,9,0.35
Wuos,The Forge,8,0.56
Hentogaira,The Forge,11,0.57
Kiainti,The Forge,11,0.53
Vasala,The Forge,11,0.49
Walvalin,The Forge,11,0.38
Otanuomi,The Forge,11,0.37
Vouskiaho,The Forge,12,0.50
Otsela,The Forge,10,0.38
Tasti,The Forge,12,0.28
Otosela,The Forge,13,0.24
Uemon,The Forge,14,0.20
Paala,The Forge,15,0.13
Fuskunen,The Forge,15,0.22
Akkio,The Forge,13,0.16
Uchoshi,The Forge,11,0.47
