id,name,eve_echoes_market_id,cached_lowest_sell,item_type_id
50,Nightmare Blueprint,60500001901,14500000000.00,175
51,Vindicator Blueprint,60500002001,,175
40,Gravity Capacitor Upgrade III Blueprint,61714000006,25900000.00,193
4,Wreathe Blueprint,60600000201,8969420.00,176
30,Nereus High Mobility Blueprint,60600001301,75739.00,176
36,MK9 Medium Shield Field Module Blueprint,61537100010,6000000.00,178
37,MK5 Medium Group Capacitor Transmitter Blueprint,61541100006,2000.00,177
91,MK5 Magnetic Field Stabilizer,11510000006,28500.00,117
8,Thrasher Holy Throne SKIN(permanent),80002700250,,207
9,Talwar Holy Throne SKIN(permanent),80002700390,,207
10,Talwar Trainer Holy Throne SKIN(permanent),80002700470,250000.00,207
79,Prophecy Red copper SKIN(permanent),80500101390,,239
17,Thorax Trainer,10300000412,82695462.00,12
25,Railgun Burst Aerator I,11700030002,425000.00,128
18,Cyclone II Guardian,10400000202,,18
19,Tornado II,10400000205,505000000.00,16
20,Apocalypse Striker,10500000302,,22
43,Nightmare,10500001901,,22
83,Badger II,10600000103,,19
84,Nereus II,10600000403,,19
45,MK7 Miner,11006100008,799000.00,51
46,ORE Miner,11006100017,,51
47,'Ion' Miner ,11006100021,3999999.00,51
23,Federation Navy Inertial Stabilizer,11520000013,1333333.00,114
64,Centum C-Type Medium Group Capacitor Transmitter,11541100024,,86
63,MK5 Interdiction Sphere Launcher,11026000006,3199999.00,229
58,MK9 Small Remote Capacitor Transmitter,11100000010,60000.00,76
846,Imperial Navy Medium Remote Capacitor Transmitter,11100100013,110000.00,77
59,'Sheriff' Large Shield Extender,11300300012,2899999.00,93
60,Republic Fleet Large Shield Extender,11300300014,30000000.00,93
61,MK9 Large Shield Booster,11302200010,550000.00,90
62,Republic Fleet Large Shield Booster,11302200014,6250000.00,90
1,MK3 Stasis Webifier,11311000004,199919.00,62
86,MK5 Stasis Webifier,11311000006,200000.00,62
87,MK7 Stasis Webifier,11311000008,107109.00,62
88,MK9 Stasis Webifier,11311000010,80000.00,62
89,Centum C-Type Heat Sink,11506000024,2690000.00,116
90,MK3 Magnetic Field Stabilizer,11510000004,19000.00,117
92,MK7 Magnetic Field Stabilizer,11510000008,135000.00,117
93,MK9 Magnetic Field Stabilizer,11510000010,260000.00,117
94,Basic Magnetic Field Stabilizer,11510000012,300000.00,117
95,Narcotics Magnetic Field Stabilizer,11510000021,750000.00,117
3,Full Duplex Ballistic Control System,11516000012,369000.00,120
21,MK3 Drone Damage Amplifier,11519000004,125000.00,121
96,Sentient Drone Damage Amplifier,11519000018,,121
24,'Repairman' Large Group Armor Repairer ,11540200012,,84
65,Laser Ambit Extension II,11702010004,115000.00,129
26,Laser Burst Aerator III,11702030006,92400000.00,129
27,Cannon Metastasis Adjuster I,11704030002,18000.00,130
32,Decomposer Ambit Extension I,11705010002,1500000.00,131
66,Decomposer Ambit Extension III,11705010006,42900000.00,131
33,Warhead Rigor Catalyst III,11706020006,4399000.00,132
68,Core Defense Operational Solidifier I,11707000002,35000.00,134
44,Core Defense Capacitor Safeguard I,11707020002,37950.00,134
48,Core Defense Field Extender III,11707030006,28800000.00,134
1461,Anti-Explosive Pump I,11708040002,70000.00,135
2107,Anti-Thermal Pump III,11708070006,3750000.00,135
70,Catalyst II Blueprint,60200000406,9000.00,172
71,Rokh Blueprint,60500000104,,175
52,Tayra Blueprint,60600000101,6642069.00,176
53,Badger Blueprint,60600000102,10999000.00,176
2,Badger II Blueprint,60600000103,,176
28,Mammoth Blueprint,60600000202,5369420.00,176
29,Wreathe II Blueprint,60600000203,,176
72,Nereus Combat Blueprint,60600001302,2999994.00,176
73,Nereus Hauling Blueprint,60600001303,1470000.00,176
31,Imicus High Mobility Blueprint,60600001304,,176
74,Warhead Flare Catalyst II Blueprint,61706000004,200000.00,186
821,Anti-EM Pump III Blueprint,61708050006,985000.00,189
39,Polycarbon Engine Housing III Blueprint,61710020006,69000000.00,191
75,Semiconductor Memory Cell II Blueprint,61711000004,56000000.00,192
41,Miner Circulation Accelerator I Blueprint,61717010002,2140000.00,194
42,Miner Circulation Accelerator III Blueprint,61717010006,273900000.00,194
54,Miner Range Controller II Blueprint,61717020004,,194
55,Miner Range Controller III Blueprint,61717020006,6000000.00,194
76,Miner Algid Optimizer I Blueprint,61717030002,2500.00,194
77,Anti-Explosive Transverse Bulkhead III Blueprint,61718010006,480000.00,190
56,Anti-EM Transverse Bulkhead III Blueprint,61718020006,500000.00,190
5,Drone Control Range Augmentor III Blueprint,61719030006,31100000.00,187
6,Moa Trainer Holy Throne SKIN(permanent),80002501100,100000.00,210
7,Probe Holy Throne SKIN(permanent),80002700200,,203
11,Omen Red copper SKIN(permanent),80500100650,15000000.00,236
78,Omen Trainer Red copper SKIN(permanent),80500100690,,236
2114,Polycarbon Engine Housing IV,11710020008,,137
109,MK7 Target Painter,11330000008,50000.00,227
153,MK9 100mm Reinforced Steel Plate,11514100010,169900.00,99
99,Federation Navy Medium Group Armor Repairer,11540100014,,83
100,MK7 Small Group Capacitor Transmitter,11541000008,138000.00,85
190,Lv.8 Gallente Ship Debris,44020000008,1800.00,167
13,Vigil,10100000201,,3
14,Burst,10100000203,6000000.00,3
15,Burst II,10100000204,19000000.00,8
16,Slasher,10100000205,3500.00,2
80,Rifter,10100000206,63200.00,3
81,Breacher,10100000207,125727.00,3
82,Slasher II,10100000208,1300000.00,4
137,Ibis Marty Kraken SKIN(permanent),80000800030,1350000.00,201
192,Megathron Titanium silver SKIN(permanent),80500402140,,219
173,Tornado II Blueprint,60400000205,17950000.00,174
193,Maelstrom Soot SKIN(permanent),80501002170,20000000.00,220
175,Hound,10100000213,16980000.00,7
179,Hound II,10100000214,87999999.00,7
120,Probe,10100000216,121760.00,3
141,Probe Covert Ops,10100000217,6400000.00,6
142,Crucifier,10100000301,800000.00,3
143,Inquisitor,10100000303,2380000.00,3
144,Inquisitor II,10100000304,17000000.00,8
121,Executioner,10100000305,5170.00,2
145,Tormentor,10100000306,40000.00,3
